交易日期,商品名称,商品分类,负责人,成交金额(元),客户名称,订单类型,付款状态,合同周期,续约概率预估
2024-03-05,大语言模型API调用套餐,AI模型服务,张智远,89000,智行科技,新签,已付款,按年,85%
2024-03-18,GPU云服务器租赁(月付),算力资源,李敏瑶,126000,深度智算,新签,已付款,按月,92%
2024-04-02,智能客服系统定制版,AI应用软件,王思睿,45000,云创电商,新签,已付款,按年,78%
2024-04-15,视觉检测模型训练平台,AI开发平台,陈天行,78500,鸿图制造,续约,部分付款,按年,88%
2024-05-10,语音合成引擎授权,AI技术授权,刘清扬,32400,声动科技,新签,已付款,按年,70%
2024-05-22,企业级知识库AI助手,AI应用软件,张智远,112000,华安保险,新签,已付款,按年,90%
2024-06-03,AIGC内容审核服务,AI模型服务,李敏瑶,27000,趣视互娱,续约,已付款,按季度,82%
2024-06-18,自动驾驶仿真数据标注,数据服务,王思睿,64800,未来出行,新签,已付款,按项目,75%
2024-07-01,私有化部署大模型一体机,AI硬件+软件,陈天行,450000,海云金服,新签,部分付款,按年,95%
2024-07-12,智能推荐算法优化服务,AI解决方案,刘清扬,38900,品悦电商,续约,已付款,按年,80%
2024-07-25,多模态Embedding模型微调,AI开发平台,张智远,56700,深研科技,新签,已付款,按项目,72%
2024-08-05,实时数字人交互SDK,AI技术授权,李敏瑶,95000,虚拟元境,新签,已付款,按年,88%
2024-08-18,AI代码辅助编程工具团队版,AI应用软件,王思睿,23600,灵动科技,新签,已付款,按年,65%
2024-09-01,工业缺陷检测模型定制,AI解决方案,陈天行,158000,精工电子,新签,已付款,按项目,89%
2024-09-12,智能营销内容生成平台,AI应用软件,刘清扬,73400,数智传媒,续约,已付款,按年,83%
2024-09-25,向量数据库企业版,AI基础设施,张智远,41200,极客数据,新签,已付款,按年,76%
2024-10-08,AI面试官系统,AI应用软件,李敏瑶,67800,人瑞集团,新签,已付款,按年,81%
2024-10-20,联邦学习平台私有化,AI开发平台,王思睿,189000,医惠科技,新签,部分付款,按年,91%
2024-11-03,智能文档处理SDK,AI技术授权,陈天行,29500,云翰科技,续约,已付款,按年,77%
2024-11-15,AI算力调度平台,算力资源,刘清扬,247000,星算云,新签,已付款,按年,87%
2024-12-01,大模型微调服务,AI模型服务,张智远,87500,智谱互联,续约,已付款,按项目,84%
2024-12-12,数字员工自动化平台,AI应用软件,李敏瑶,134000,财智金融,新签,已付款,按年,92%